parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21
3,House,2024,650.0,24 fulton crescent,burwood,3125,3,1,-37.848226,145.1310193,207031165,Greater Melbourne
1,Unit,2024,625.0,405/28 swindon road,hughesdale,3166,2,2,-37.8972109,145.086841,208021180,Greater Melbourne
3,House,2024,525.0,78 edenvale boulevard,wollert,3750,3,2,-37.6175454,145.0153968,209041437,Greater Melbourne
2,Townhouse,2024,870.0,4/969 mt alexander rd,essendon,3040,4,2,-37.7493,144.912511,206031502,Greater Melbourne
0,Unit,2024,640.0,4604/301 king street,melbourne,3000,1,1,-37.8132921,144.954018,206041505,Greater Melbourne
2,House,2024,695.0,309c stud road,dandenong north,3175,4,3,-37.9540419,145.2261129,212041312,Greater Melbourne
0,Unit,2024,560.0,307/33 batman street,west melbourne,3003,2,1,-37.8108602,144.9518268,206041510,Greater Melbourne
2,House,2024,850.0,12 carambola place,berwick,3806,5,3,-38.0765737,145.3572574,212021553,Greater Melbourne
1,Townhouse,2024,875.0,1/28-30 charles street,northcote,3070,2,1,-37.7769646,144.9915337,206021500,Greater Melbourne
1,Unit,2024,700.0,902c/2 tannery walk,footscray,3011,3,2,-37.8002319,144.9071097,213031348,Greater Melbourne
2,House,2024,500.0,7 roseneath way,mickleham,3064,3,2,-37.52999519999999,144.9093125,210051445,Greater Melbourne
1,Unit,2024,600.0,505/12-14 nelson road,box hill,3128,2,2,-37.8161925,145.1197517,207031163,Greater Melbourne
0,Unit,2024,750.0,3909/462 elizabeth street,melbourne,3000,2,1,-37.807859,144.960611,206041504,Greater Melbourne
0,Unit,2024,800.0,5 hartley,caulfield,3162,3,2,-37.8806606,145.0214734,208021178,Greater Melbourne
1,House,2024,425.0,6 berkley place,melton west,3337,3,1,-37.6730929,144.5658323,213041358,Greater Melbourne
1,Unit,2024,610.0,1811/50 albert road,south melbourne,3205,2,1,-37.8340507,144.9713202,206051512,Greater Melbourne
0,House,2024,760.0,7 leinster grove,brunswick east,3057,4,1,-37.7712901,144.972432,206011106,Greater Melbourne
1,Unit,2024,700.0,105/2 nelson st,balaclava,3183,2,2,-37.8658605,144.994003,206051134,Greater Melbourne
0,Unit,2024,789.0,99 franklin street,melbourne,3000,1,1,-37.8081956,144.9612917,206041504,Greater Melbourne
8,House,2024,650.0,77 rowes lane,wallan,3756,4,2,-37.4115026,144.9602909,209041224,Greater Melbourne
0,House,2024,825.0,87 montague street,southbank,3006,3,2,-37.8299017,144.9496307,206051511,Greater Melbourne
2,Townhouse,2024,800.0,1/15 raymond street,noble park,3174,4,3,-37.97050970000001,145.171736,212041460,Greater Melbourne
2,House,2024,550.0,17 stradbroke close,berwick,3806,3,2,-38.011784,145.321922,212021293,Greater Melbourne
1,Unit,2024,455.0,311/632 doncaster road,doncaster,3108,1,1,-37.7875232,145.1266175,207021157,Greater Melbourne
1,Unit,2024,550.0,8/380 inkerman street,st kilda,3182,1,1,-37.8650001,144.9885663,206051513,Greater Melbourne
1,Unit,2024,530.0,3/24 cohuna street,brunswick west,3055,2,1,-37.7727271,144.9410949,206011107,Greater Melbourne
2,House,2024,1100.0,37 curlew point drive,patterson lakes,3197,4,3,-38.0772067,145.1415997,208031185,Greater Melbourne
0,Unit,2024,1203.0,a113/348 macaulay road,kensington,3031,3,2,-37.7947678,144.9342535,206041121,Greater Melbourne
0,House,2024,430.0,44 nightingale drive,werribee,3030,3,1,-37.8860799,144.6747529,213051467,Greater Melbourne
1,Townhouse,2024,450.0,158 farm road,werribee,3030,2,1,-37.9196617,144.6469653,213051468,Greater Melbourne
2,Townhouse,2024,1190.0,20a & 20b henley street,pascoe vale south,3044,4,3,-37.749945,144.9315685,206011109,Greater Melbourne
2,House,2024,630.0,7 dablam street,clyde north,3978,4,2,-38.1024816,145.3579939,212031556,Greater Melbourne
1,Unit,2024,820.0,4805/560 lonsdale street,melbourne,3000,2,2,-37.8139691,144.9556528,206041505,Greater Melbourne
1,Unit,2024,530.0,7/4 yorston court,elsternwick,3185,2,1,-37.8846597,145.0086263,208021179,Greater Melbourne
2,House,2024,580.0,13 golf links drive,mill park,3082,3,1,-37.6617302,145.049495,209041220,Greater Melbourne
0,Unit,2024,490.0,10/29 mitford street,st kilda,3182,2,1,-37.8726068,144.9818687,206051513,Greater Melbourne
0,House,2024,650.0,39 sandells road,tecoma,3160,3,1,-37.9002756,145.3459308,211051284,Greater Melbourne
0,Studio,2024,320.0,127 leicester street,carlton,3053,1,1,-37.80288,144.9602773,206041117,Greater Melbourne
1,Unit,2024,600.0,125/33-47 la trobe street,melbourne,3000,2,1,-37.8079019,144.9703422,206041503,Greater Melbourne
1,House,2024,710.0,61 clarendon street,thornbury,3071,2,1,-37.7597409,145.0044527,206021112,Greater Melbourne
1,Unit,2024,380.0,18/24 brixton rise,glen iris,3146,1,1,-37.8588298,145.0596395,208041194,Greater Melbourne
