,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
46,0,Unit,2024,380.0,115a mckillop street,geelong,3220.0,1,1,-38.1551359,144.3648864,203021039,Rest of Vic.,1.2823399999999998
47,6,House,2024,990.0,170-240 peak school road,lara,3212.0,3,1,-37.9764728,144.37176,203021043,Rest of Vic.,25.84109
48,2,House,2024,600.0,17 george street,traralgon,3844.0,3,1,-38.1908372,146.5402546,205041493,Rest of Vic.,0.75598
49,1,Unit,2024,380.0,6/2 garden avenue,bairnsdale,3875.0,2,1,-37.8218971,147.6090285,205021081,Rest of Vic.,116.30614999999999
50,2,House,2024,360.0,910 warrenheip street,buninyong,3357.0,3,1,-37.6544633,143.8822338,201011005,Rest of Vic.,11.3714
51,2,House,2024,500.0,101 berrigan drive,bonshaw,3352.0,4,2,-37.5990943,143.8228986,201011006,Rest of Vic.,6.49008
52,0,House,2024,400.0,523 corangamite lake road,cororooke,3254.0,3,1,-38.2891352,143.5222146,217031473,Rest of Vic.,97.86998
53,0,House,2024,420.0,3 union street,kyabram,3620.0,3,1,-36.3188304,145.0477048,216011407,Rest of Vic.,37.853519999999996
54,2,House,2024,390.0,1/71 washington street,traralgon,3844.0,3,2,-38.1968362,146.520161,205041494,Rest of Vic.,1.94274
55,2,House,2024,475.0,577 san mateo avenue,mildura,3500.0,3,2,-34.2161584,142.1347466,215021470,Rest of Vic.,3.31232
56,1,House,2024,320.0,23 talbot street south,ballarat central,3350.0,2,1,-37.5618233,143.842935,201011002,Rest of Vic.,1.89369
57,2,House,2024,450.0,4 sharland rd,corio,3214.0,3,1,-38.0666311,144.3782238,203021486,Rest of Vic.,11.184479999999999
58,2,House,2024,420.0,1783 sturt street,alfredton,3350.0,3,2,-37.550103,143.8046,201011001,Rest of Vic.,5.87699
59,0,House,2024,450.0,35 anderson avenue,inverloch,3996.0,3,1,-38.6297675,145.7392692,205031093,Rest of Vic.,99.58578
60,1,House,2024,370.0,67 gillies street,maryborough,3465.0,3,1,-37.0528914,143.7465737,201031016,Rest of Vic.,66.24808999999999
61,2,Unit,2024,330.0,17 brown street,trafalgar,3824.0,1,1,-38.2083903,146.1614443,205011078,Rest of Vic.,39.47469
62,1,Unit,2024,310.0,2/3-5 wandana drive,wandana heights,3216.0,1,1,-38.1717138,144.3086974,203021042,Rest of Vic.,7.13249
63,0,House,2024,350.0,17 olympic parade,kangaroo flat,3555.0,3,1,-36.7948936,144.2376678,202011022,Rest of Vic.,7.492100000000001
64,2,House,2024,480.0,22 coast avenue,paynesville,3880.0,4,2,-37.9077356,147.7081304,205021086,Rest of Vic.,128.49665
65,2,House,2024,695.0,139 dyar ave,mildura,3500.0,4,2,-34.1718827,142.138593,215021469,Rest of Vic.,3.7584299999999997
66,1,House,2024,400.0,11 exton crescent,benalla,3672.0,2,1,-36.562473,145.9637933,204021063,Rest of Vic.,64.22874
67,3,House,2024,850.0,116 morpung avenue,irymple,3498.0,6,3,-34.2291467,142.1973801,215021395,Rest of Vic.,7.2465
68,0,House,2024,425.0,38 thomson bvd,st leonards,3223.0,3,1,-38.1728844,144.7101723,203031051,Rest of Vic.,33.408550000000005
69,0,Unit,2024,195.0,unit 14/46 tocumwal rd,numurkah,3636.0,1,1,-36.0840483,145.4444563,216021413,Rest of Vic.,35.1417
70,3,House,2024,650.0,62 magpie street,mount pleasant,3350.0,4,2,-37.5776775,143.8635136,201011483,Rest of Vic.,2.21463
71,0,House,2024,390.0,2 koonwarra-inverloch road,koonwarra,3954.0,1,1,-38.5471151,145.946772,205031090,Rest of Vic.,80.55628999999999
72,2,House,2024,545.0,51 moruya drive,grovedale,3216.0,3,1,-38.2050455,144.3183242,203021487,Rest of Vic.,8.596950000000001
73,2,House,2024,580.0,18 windsor avenue,shepparton,3630.0,4,2,-36.356942,145.37203,216031416,Rest of Vic.,5.24515
74,1,House,2024,430.0,20 carpenter street,quarry hill,3550.0,4,1,-36.7713127,144.2854898,202011021,Rest of Vic.,1.65138
75,1,Townhouse,2024,470.0,71b fairfax street,portarlington,3223.0,3,2,-38.1202592,144.6640127,203031051,Rest of Vic.,34.76464
76,7,House,2024,750.0,43 saywell street,north geelong,3215.0,4,2,-38.1285971,144.3485296,203021047,Rest of Vic.,3.1139699999999997
77,2,House,2024,510.0,2b duxbury drive,traralgon,3844.0,3,2,-38.1830936,146.5222198,205041494,Rest of Vic.,2.9358299999999997
78,1,Unit,2024,535.0,8/17 buckworth street,kialla,3631.0,3,2,-36.4110021,145.3904723,216031593,Rest of Vic.,3.4476999999999998
79,1,House,2024,450.0,2/14a nelson street,california gully,3556.0,2,2,-36.7299553,144.2609312,202011019,Rest of Vic.,4.49256
80,1,Townhouse,2024,450.0,1,"2 & 3/162 coppards road, whittington",3219.0,3,2,-38.1801725,144.4009559,203021045,Rest of Vic.,6.22726
81,2,House,2024,550.0,171 mcglone road,drouin,3818.0,3,2,-38.0996117,145.824143,205011076,Rest of Vic.,75.11032
82,2,Townhouse,2024,680.0,235a roslyn road,highton,3216.0,3,2,-38.17320460000001,144.3227214,203021042,Rest of Vic.,5.53844
83,1,Unit,2024,350.0,unit 1/54 hawdon st,shepparton,3630.0,2,1,-36.3731814,145.4146438,216031416,Rest of Vic.,2.5891100000000002
84,2,House,2024,405.0,1617 sturt street,alfredton,3350.0,2,2,-37.5547699,143.8157808,201011001,Rest of Vic.,4.26249
85,0,House,2024,650.0,904 davenport road,learmonth,3352.0,3,2,-37.4474767,143.6999563,201021010,Rest of Vic.,22.524330000000003
86,3,House,2024,560.0,204 seymour street,soldiers hill,3350.0,3,3,-37.5555741,143.8600935,201011482,Rest of Vic.,1.1481400000000002
87,1,Townhouse,2024,480.0,1/179 church street,cowes,3922.0,3,2,-38.4524863,145.2270642,205031091,Rest of Vic.,140.861
88,2,House,2024,450.0,66 elegante road,winter valley,3358.0,4,2,-37.5796583,143.7948474,201011006,Rest of Vic.,8.37463
89,1,Unit,2024,450.0,9/23 hallam street,quarry hill,3550.0,2,1,-36.7738796,144.2863285,202011021,Rest of Vic.,2.6375900000000003
90,3,House,2024,470.0,105 ballarat road,bell park,3215.0,3,1,-38.1189464,144.3332442,203021047,Rest of Vic.,5.3341400000000005
91,2,House,2024,630.0,6 conder parade,clifton springs,3222.0,4,2,-38.16680119999999,144.5582113,203031048,Rest of Vic.,19.80122
92,2,House,2024,550.0,195 mccallum street,swan hill,3585.0,4,1,-35.3403187,143.5420728,215031404,Rest of Vic.,189.18023000000002
93,2,House,2024,500.0,41 rowands street,mount duneed,3217.0,4,2,-38.2327958,144.3311304,203021487,Rest of Vic.,10.92118
94,2,House,2024,430.0,14 wexford court,corio,3214.0,3,1,-38.0727307,144.3514088,203021486,Rest of Vic.,10.91805
95,2,House,2024,510.0,69 iris loop,armstrong creek,3217.0,4,2,-38.2443696,144.3465871,203021485,Rest of Vic.,12.77634
96,2,House,2024,490.0,28 cole street,herne hill,3218.0,3,2,-38.1291677,144.3225289,203021040,Rest of Vic.,5.301399999999999
97,2,House,2024,380.0,9 whittakers rd,traralgon,3844.0,2,1,-38.1986433,146.5436591,205041493,Rest of Vic.,1.1150799999999998
98,5,House,2024,450.0,19 hurd street,portland,3305.0,3,2,-38.3497712,141.6005136,217011422,Rest of Vic.,100.0518
