,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
45,1,House,2024,425.0,6 berkley place,melton west,3337.0,3,1,-37.6730929,144.5658323,213041358,Greater Melbourne,46.12592
46,1,Unit,2024,610.0,1811/50 albert road,south melbourne,3205.0,2,1,-37.8340507,144.9713202,206051512,Greater Melbourne,2.67977
47,0,House,2024,760.0,7 leinster grove,brunswick east,3057.0,4,1,-37.7712901,144.972432,206011106,Greater Melbourne,5.2489
48,1,Unit,2024,700.0,105/2 nelson st,balaclava,3183.0,2,2,-37.8658605,144.994003,206051134,Greater Melbourne,7.61471
49,0,Unit,2024,789.0,99 franklin street,melbourne,3000.0,1,1,-37.8081956,144.9612917,206041504,Greater Melbourne,0.85612
50,8,House,2024,650.0,77 rowes lane,wallan,3756.0,4,2,-37.4115026,144.9602909,209041224,Greater Melbourne,53.34538
51,0,House,2024,825.0,87 montague street,southbank,3006.0,3,2,-37.8299017,144.9496307,206051511,Greater Melbourne,2.96591
52,2,Townhouse,2024,800.0,1/15 raymond street,noble park,3174.0,4,3,-37.97050970000001,145.171736,212041460,Greater Melbourne,34.51746
53,2,House,2024,550.0,17 stradbroke close,berwick,3806.0,3,2,-38.011784,145.321922,212021293,Greater Melbourne,43.49929
54,1,Unit,2024,455.0,311/632 doncaster road,doncaster,3108.0,1,1,-37.7875232,145.1266175,207021157,Greater Melbourne,18.27584
55,1,Unit,2024,550.0,8/380 inkerman street,st kilda,3182.0,1,1,-37.8650001,144.9885663,206051513,Greater Melbourne,6.596229999999999
56,1,Unit,2024,530.0,3/24 cohuna street,brunswick west,3055.0,2,1,-37.7727271,144.9410949,206011107,Greater Melbourne,6.239229999999999
57,2,House,2024,1100.0,37 curlew point drive,patterson lakes,3197.0,4,3,-38.0772067,145.1415997,208031185,Greater Melbourne,48.0623
58,0,Unit,2024,1203.0,a113/348 macaulay road,kensington,3031.0,3,2,-37.7947678,144.9342535,206041121,Greater Melbourne,4.1856599999999995
59,0,House,2024,430.0,44 nightingale drive,werribee,3030.0,3,1,-37.8860799,144.6747529,213051467,Greater Melbourne,30.96146
60,1,Townhouse,2024,450.0,158 farm road,werribee,3030.0,2,1,-37.9196617,144.6469653,213051468,Greater Melbourne,37.96646
61,2,Townhouse,2024,1190.0,20a & 20b henley street,pascoe vale south,3044.0,4,3,-37.749945,144.9315685,206011109,Greater Melbourne,8.366299999999999
62,2,House,2024,630.0,7 dablam street,clyde north,3978.0,4,2,-38.1024816,145.3579939,212031556,Greater Melbourne,56.73212
63,1,Unit,2024,820.0,4805/560 lonsdale street,melbourne,3000.0,2,2,-37.8139691,144.9556528,206041505,Greater Melbourne,0.8678899999999999
64,1,Unit,2024,530.0,7/4 yorston court,elsternwick,3185.0,2,1,-37.8846597,145.0086263,208021179,Greater Melbourne,9.807739999999999
65,2,House,2024,580.0,13 golf links drive,mill park,3082.0,3,1,-37.6617302,145.049495,209041220,Greater Melbourne,21.05753
66,0,Unit,2024,490.0,10/29 mitford street,st kilda,3182.0,2,1,-37.8726068,144.9818687,206051513,Greater Melbourne,8.24626
67,0,House,2024,650.0,39 sandells road,tecoma,3160.0,3,1,-37.9002756,145.3459308,211051284,Greater Melbourne,47.01199
68,0,Studio,2024,320.0,127 leicester street,carlton,3053.0,1,1,-37.80288,144.9602773,206041117,Greater Melbourne,1.5540399999999999
69,1,Unit,2024,600.0,125/33-47 la trobe street,melbourne,3000.0,2,1,-37.8079019,144.9703422,206041503,Greater Melbourne,1.3019
70,1,House,2024,710.0,61 clarendon street,thornbury,3071.0,2,1,-37.7597409,145.0044527,206021112,Greater Melbourne,8.56622
71,1,Unit,2024,380.0,18/24 brixton rise,glen iris,3146.0,1,1,-37.8588298,145.0596395,208041194,Greater Melbourne,12.17934
72,2,Unit,2024,780.0,8/6 sidwell ave,st kilda east,3183.0,2,1,-37.8691498,145.0058189,208021177,Greater Melbourne,9.386709999999999
73,2,House,2024,550.0,27 romulea circuit,diggers rest,3427.0,4,2,-37.6223899,144.694738,210041539,Greater Melbourne,37.064569999999996
74,1,Townhouse,2024,470.0,10a hanworth avenue,williams landing,3027.0,2,1,-37.8607697,144.7451987,213051363,Greater Melbourne,24.09493
75,1,Unit,2024,650.0,409/2-6 railway road,cheltenham,3192.0,3,2,-37.9661517,145.0563838,208031188,Greater Melbourne,25.683880000000002
76,2,House,2024,800.0,6 bonnie court,ferntree gully,3156.0,5,2,-37.8912561,145.2824528,211011448,Greater Melbourne,41.05819
77,1,Unit,2024,770.0,g08/1555 malvern road,glen iris,3146.0,2,1,-37.8536224,145.0477641,208041194,Greater Melbourne,11.45055
78,1,House,2024,550.0,24 wallaroo avenue,narre warren,3805.0,3,1,-38.0134281,145.3001116,212021456,Greater Melbourne,41.01251
79,2,House,2024,550.0,3 maddock street,point cook,3030.0,4,2,-37.9003244,144.7202891,213051466,Greater Melbourne,30.64786
80,0,Unit,2024,520.0,557 little lonsdale street,melbourne,3000.0,1,1,-37.813306,144.9553567,206041505,Greater Melbourne,0.97573
81,0,House,2024,350.0,rear 14 sunshine grove,rye,3941.0,1,1,-38.3818759,144.8313689,214021383,Greater Melbourne,55.34099
82,2,House,2024,1100.0,8 beltane avenue,brighton east,3187.0,6,4,-37.9030138,145.02426,208011170,Greater Melbourne,14.75453
83,2,House,2024,580.0,23 pechora street,truganina,3029.0,4,2,-37.7670429,144.6884403,213041359,Greater Melbourne,34.77279
84,2,Townhouse,2024,700.0,23 morawa drive,mulgrave,3170.0,4,2,-37.928482,145.196241,212051325,Greater Melbourne,28.52151
85,2,House,2024,650.0,54 marchant avenue,reservoir,3073.0,3,1,-37.7137866,145.0150852,209021523,Greater Melbourne,13.76032
86,0,Unit,2024,680.0,1506/63 la trobe street,melbourne,3000.0,1,1,-37.8081542,144.9695394,206041503,Greater Melbourne,1.223
87,1,House,2024,530.0,78 bowes avenue,airport west,3042.0,3,1,-37.72780729999999,144.8856627,210011226,Greater Melbourne,15.13766
88,1,Unit,2024,595.0,5/21 wilson street,south yarra,3141.0,1,1,-37.8437612,144.9964955,206061516,Greater Melbourne,5.609439999999999
89,1,House,2024,490.0,37/191-193 lygon street,brunswick east,3057.0,1,1,-37.7718894,144.971423,206011496,Greater Melbourne,5.09141
90,2,House,2024,565.0,25 bakanovi drive,truganina,3029.0,4,2,-37.76119509999999,144.674333,213041359,Greater Melbourne,36.73432
91,1,Townhouse,2024,485.0,13/213-215 camp road,broadmeadows,3047.0,2,1,-37.6884314,144.9383992,210051242,Greater Melbourne,16.964669999999998
92,1,House,2024,500.0,1/65 ferguson street,macleod,3085.0,2,1,-37.7273217,145.0742756,209011203,Greater Melbourne,18.02183
93,1,Unit,2024,650.0,g09/13 koonawarra street,clayton,3168.0,2,1,-37.9078447,145.1249291,212051567,Greater Melbourne,21.48122
94,2,House,2024,850.0,21 clinton street,brighton east,3187.0,4,2,-37.9121035,145.0202983,208011170,Greater Melbourne,15.58155
95,2,Townhouse,2024,820.0,31 emu road,maidstone,3012.0,4,3,-37.7800214,144.8813216,213031347,Greater Melbourne,10.55317
96,0,House,2024,750.0,12 empress road,st kilda east,3183.0,2,1,-37.8687222,145.0015679,208021177,Greater Melbourne,9.25619
97,0,Unit,2024,290.0,8 porter street,prahran,3181.0,0,1,-37.8508636,144.9899698,206061136,Greater Melbourne,5.63286
98,2,House,2024,510.0,30 judith street,dandenong north,3175.0,3,1,-37.9671531,145.2206194,212041312,Greater Melbourne,32.12578
99,1,Unit,2024,925.0,4207/22-24 jane bell lane,melbourne,3000.0,2,1,-37.8102191,144.966267,206041504,Greater Melbourne,0.8880399999999999
100,1,Unit,2024,775.0,306/132 smith street,collingwood,3066.0,2,2,-37.804475,144.983604,206071141,Greater Melbourne,2.71848
101,0,Unit,2024,530.0,1704/7 katherine place,melbourne,3000.0,1,1,-37.8201715,144.9564604,206041505,Greater Melbourne,1.3044200000000001
102,1,Unit,2024,675.0,1/950 burke road,deepdene,3103.0,3,1,-37.8106331,145.0610736,207011147,Greater Melbourne,9.4821
103,2,House,2024,600.0,10 furlong court,endeavour hills,3802.0,4,2,-37.96843130000001,145.2731205,212021453,Greater Melbourne,36.71067
104,3,Townhouse,2024,1295.0,9b fuge street,highett,3190.0,4,3,-37.9461234,145.0289738,208011171,Greater Melbourne,20.353150000000003
105,1,House,2024,520.0,39b greenleaf circuit,tarneit,3029.0,3,2,-37.8576231,144.6621833,213051585,Greater Melbourne,33.187839999999994
106,1,House,2024,1195.0,1a lucas street,brighton east,3187.0,3,2,-37.9222334,145.0061177,208011170,Greater Melbourne,13.286620000000001
107,3,House,2024,625.0,10 hester street,blairgowrie,3942.0,4,2,-38.3584565,144.7613578,214021383,Greater Melbourne,49.01579
108,1,Unit,2024,850.0,301/220 commercial road,prahran,3181.0,2,1,-37.84723899999999,144.99358,206061136,Greater Melbourne,5.99976
109,2,Unit,2024,625.0,3/3-25 hanover street,fitzroy,3065.0,2,1,-37.8026342,144.9750293,206071142,Greater Melbourne,2.05231
110,1,Townhouse,2024,530.0,6/20 hancock crescent,braybrook,3019.0,2,2,-37.7822239,144.8586913,213031347,Greater Melbourne,12.163450000000001
111,1,Unit,2024,650.0,7/88 southbank boulevard,southbank,3006.0,2,1,-37.8234641,144.9646631,206041509,Greater Melbourne,1.9639000000000002
112,1,Unit,2024,615.0,715v/162 albert street,east melbourne,3002.0,2,1,-37.8100432,144.9855313,206041119,Greater Melbourne,2.6919299999999997
113,1,Unit,2024,680.0,2.02/776 riversdale road,camberwell,3124.0,2,2,-37.834019,145.0784129,207011149,Greater Melbourne,14.04433
114,1,Unit,2024,600.0,6213/172 edward street street,brunswick east,3057.0,2,1,-37.775312,144.9718123,206011106,Greater Melbourne,4.79388
115,1,Unit,2024,500.0,304/40 burgundy street,heidelberg,3084.0,2,1,-37.7563909,145.0690427,209011198,Greater Melbourne,14.5214
116,1,Unit,2024,575.0,307/1b nelson street,ringwood,3134.0,2,2,-37.8119331,145.2263716,211031266,Greater Melbourne,27.56107
117,0,Unit,2024,540.0,1408/2 newquay promenade,docklands,3008.0,1,1,-37.8141226,144.9438269,206041118,Greater Melbourne,2.24359
118,1,Unit,2024,525.0,908/280 spencer street,melbourne,3000.0,1,1,-37.8139473,144.9520227,206041505,Greater Melbourne,1.30677
119,2,House,2024,740.0,1030 nepean highway,mornington,3931.0,4,2,-38.2250967,145.0516577,214021591,Greater Melbourne,71.09545
120,2,Unit,2024,950.0,70/183 city road,southbank,3006.0,3,2,-37.8247935,144.9618171,206041509,Greater Melbourne,1.94647
121,2,House,2024,490.0,3 dover hedge walk,wollert,3750.0,3,2,-37.6144518,145.0418939,209041437,Greater Melbourne,27.1249
122,0,Studio,2024,460.0,917/6 leicester street,carlton,3053.0,1,1,-37.806138,144.9602874,206041117,Greater Melbourne,1.22901
123,0,Unit,2024,800.0,7/38 mitford street,elwood,3184.0,3,1,-37.8745229,144.9835571,206051129,Greater Melbourne,8.514790000000001
124,2,Unit,2024,875.0,3/5 vautier street,elwood,3184.0,4,2,-37.885826,144.9870232,206051129,Greater Melbourne,10.22611
125,1,Unit,2024,500.0,202/2 cromwell road,south yarra,3141.0,1,1,-37.84708639999999,144.9997062,206061516,Greater Melbourne,6.30112
126,2,House,2024,1400.0,50 hopetoun avenue,canterbury,3126.0,5,3,-37.8186648,145.0775678,207011155,Greater Melbourne,10.81959
127,2,House,2024,535.0,44 stambridge st,tarneit,3029.0,4,2,-37.8208719,144.6769797,213051584,Greater Melbourne,33.12646
128,2,Townhouse,2024,680.0,2 oxford street,west footscray,3012.0,3,2,-37.7923592,144.8773982,213031351,Greater Melbourne,9.957559999999999
129,1,House,2024,470.0,2/3 charlesworth street,laverton,3028.0,3,1,-37.8600332,144.7757541,213051363,Greater Melbourne,21.4772
130,1,Unit,2024,500.0,11/210 corrigan road,noble park,3174.0,2,1,-37.9725899,145.1658389,212041460,Greater Melbourne,34.99405
131,3,Townhouse,2024,550.0,2/20 navarre court,meadow heights,3048.0,2,2,-37.6571941,144.9229936,210051247,Greater Melbourne,19.47849
132,1,House,2024,680.0,120 power avenue,chadstone,3148.0,3,1,-37.8776457,145.1033155,212051319,Greater Melbourne,18.28418
133,1,House,2024,840.0,1 & 2/32 folkstone crescent,ferntree gully,3156.0,4,3,-37.88899019999999,145.2590059,211011448,Greater Melbourne,38.35197
134,2,House,2024,500.0,34 silvereye circuit,beveridge,3753.0,4,2,-37.4714142,144.9638294,209041224,Greater Melbourne,45.70447
135,1,Townhouse,2024,1100.0,7/398 elgar road,box hill,3128.0,4,4,-37.821922,145.1142951,207031163,Greater Melbourne,19.74589
136,0,Unit,2024,700.0,12/63 alexandra avenue,south yarra,3141.0,1,1,-37.8322438,144.9892193,206061515,Greater Melbourne,4.25021
137,3,House,2024,580.0,46 linden street,altona meadows,3028.0,4,2,-37.8669271,144.776697,213021342,Greater Melbourne,22.52019
138,1,Unit,2024,380.0,3/81 delaware street,reservoir,3073.0,1,1,-37.720262,145.008883,209021525,Greater Melbourne,12.58606
139,2,House,2024,1500.0,588 inkerman street,caulfield north,3161.0,4,2,-37.8674836,145.0084958,206051134,Greater Melbourne,9.38491
140,0,Townhouse,2024,1400.0,55 lewisham road,windsor,3181.0,4,3,-37.854248,144.9992446,206061136,Greater Melbourne,6.63835
141,1,Unit,2024,710.0,2005/58 clarke street,southbank,3006.0,2,1,-37.8278616,144.9593727,206041509,Greater Melbourne,2.52203
142,1,Unit,2024,520.0,3/13 gardeners road,bentleigh east,3165.0,2,1,-37.918975,145.061988,208021426,Greater Melbourne,20.32368
143,1,Unit,2024,460.0,410/243 queens parade,fitzroy north,3068.0,1,1,-37.78631900000001,144.9945971,206071143,Greater Melbourne,5.19505
144,1,Unit,2024,525.0,1/9 hewitt avenue,footscray,3011.0,2,1,-37.7996605,144.8806059,213031348,Greater Melbourne,9.29923
145,2,House,2024,550.0,15 bellvue drive,truganina,3029.0,3,2,-37.840979,144.7096648,213051588,Greater Melbourne,25.306189999999997
146,1,House,2024,390.0,9 cornelius close,melton south,3338.0,2,2,-37.6989138,144.5699813,213041578,Greater Melbourne,45.58782
147,2,Townhouse,2024,990.0,5/147 woodhouse grove,box hill north,3129.0,4,2,-37.8019225,145.131936,207031164,Greater Melbourne,20.46371
148,1,Unit,2024,430.0,12/59 raleigh st,windsor,3181.0,1,1,-37.8523467,144.9874184,206061136,Greater Melbourne,5.54879
149,2,House,2024,460.0,16 healey street,craigieburn,3064.0,3,1,-37.6000303,144.938805,210051443,Greater Melbourne,26.38399
150,1,Unit,2024,580.0,2209/22 dorcas street,southbank,3006.0,1,1,-37.8301483,144.9696742,206041509,Greater Melbourne,2.28895
151,1,Unit,2024,545.0,306/36 porter street,prahran,3181.0,1,1,-37.8492653,144.990339,206061136,Greater Melbourne,5.334689999999999
152,2,House,2024,550.0,24 hamish drive,tarneit,3029.0,4,2,-37.8445107,144.6601458,213051583,Greater Melbourne,30.34676
153,0,Unit,2024,550.0,1001/23 mackenzie street,melbourne,3000.0,1,1,-37.8075687,144.9674021,206041503,Greater Melbourne,1.2013399999999999
